epoch,learning_rate,epoch_seconds,elapsed_seconds,train_total,train_temperature,train_logF,train_retention,train_physics,train_trajectory_F,train_initial,train_continuity,train_selection_score,validation_total,validation_temperature,validation_logF,validation_retention,validation_physics,validation_trajectory_F,validation_initial,validation_continuity,validation_selection_score
1,0.0010000000474974513,58.173008437000135,58.173014063999744,3.3344855308532715,0.4735005795955658,0.21440483629703522,0.12946180999279022,4.995101451873779,5.060306549072266,0.13883568346500397,0.056837890297174454,2.538303852081299,0.127156600356102,0.0264846570789814,0.030278658494353294,0.032528042793273926,0.07476715743541718,0.10418258607387543,0.003262750105932355,0.0015538590960204601,0.9035178422927856
2,0.0010000000474974513,9.350313493000158,67.52340766299994,0.08953499048948288,0.020854206755757332,0.026070134714245796,0.031591206789016724,0.02103743888437748,0.036825139075517654,0.003280716948211193,0.0017262718174606562,0.6913547515869141,0.040183983743190765,0.009443467482924461,0.012864883989095688,0.008569838479161263,0.01838955655694008,0.030088402330875397,0.00062428048113361,0.0004858389147557318,0.5056701898574829
3,0.0010000000474974513,9.531738226000016,77.05516461999969,0.04819663241505623,0.0109175443649292,0.012445114552974701,0.016571924090385437,0.015989379957318306,0.019226517528295517,0.0017136754468083382,0.000959814409725368,0.5057691335678101,0.030857698991894722,0.0053439270704984665,0.00759098632261157,0.004587593022733927,0.026536263525485992,0.035804882645606995,0.00030138922738842666,0.0003692016762215644,0.45354199409484863
4,0.0010000000474974513,9.403377948999605,86.45857033499988,0.038581088185310364,0.007827329449355602,0.010635263286530972,0.01421236153692007,0.011415683664381504,0.013614019379019737,0.001249308348633349,0.0007336413254961371,0.44778338074684143,0.020986896008253098,0.003708469681441784,0.006119944620877504,0.00485421484336257,0.012549209408462048,0.012721405364573002,0.00015998011804185808,0.00013664475409314036,0.3449997007846832
5,0.0010000000474974513,9.521835968000232,95.98042400199984,0.03416764363646507,0.006499568000435829,0.009519324637949467,0.011245648376643658,0.013470587320625782,0.01471281610429287,0.0010408209636807442,0.0006372498464770615,0.42499786615371704,0.015786252915859222,0.003725038841366768,0.00259769381955266,0.0019616251811385155,0.014933118596673012,0.014801264740526676,0.00019689893815666437,0.0001564608101034537,0.3059796690940857
6,0.0010000000474974513,9.453303746000074,105.43379602100003,0.026458051055669785,0.0053085945546627045,0.007710855919867754,0.009369508363306522,0.007844245061278343,0.009132451377809048,0.0008483498822897673,0.0006213623564690351,0.36948129534721375,0.013467658311128616,0.002796121872961521,0.003105512587353587,0.002950436668470502,0.00911374855786562,0.006526263430714607,8.180214354069903e-05,0.0005053339991718531,0.26545649766921997
7,0.0010000000474974513,9.43915602099969,114.87296748399967,0.03383486717939377,0.0056765018962323666,0.008955348283052444,0.013460732065141201,0.011211859993636608,0.013014476746320724,0.0007504126988351345,0.0006131621776148677,0.4135938286781311,0.010345336981117725,0.0023465692065656185,0.0017949864268302917,0.004472437314689159,0.003414919599890709,0.0033716594334691763,9.236550249624997e-05,0.00014646748604718596,0.22675690054893494
8,0.0010000000474974513,9.641352421000192,124.5143352289997,0.02614183910191059,0.0048442319966852665,0.007216494996100664,0.009611474350094795,0.008711304515600204,0.010006126947700977,0.0006289916345849633,0.0005108389304950833,0.36813777685165405,0.010467120446264744,0.002414196729660034,0.0027985202614217997,0.004082785453647375,0.0022791577503085136,0.00218794378452003,6.476169073721394e-05,0.00025562921655364335,0.22106783092021942
9,0.0010000000474974513,9.398215595999773,133.91257234799969,0.02358981780707836,0.0040986607782542706,0.006423111539334059,0.009203959256410599,0.007529560476541519,0.008483650162816048,0.0005344700184650719,0.0004586133291013539,0.3480183482170105,0.014632697217166424,0.0018613358261063695,0.003035411238670349,0.0034526202362030745,0.012530909851193428,0.012530475854873657,0.00013829409726895392,4.045318200951442e-05,0.29303520917892456
10,0.0010000000474974513,9.342371778000143,143.25495699199973,0.024294434115290642,0.004122872371226549,0.006598848383873701,0.008269306272268295,0.010423908941447735,0.010948551818728447,0.0004940155777148902,0.00042045608279295266,0.3586699366569519,0.023878471925854683,0.0023971095215529203,0.0037025148048996925,0.011889088898897171,0.011720252223312855,0.007137861102819443,6.539564492413774e-05,0.0002309249684913084,0.3270195424556732
11,0.0010000000474974513,9.830327342000146,153.08533497400003,0.023398054763674736,0.003931987565010786,0.006460933946073055,0.008790330030024052,0.008256891742348671,0.0087062306702137,0.00044857640750706196,0.00041497478378005326,0.34554940462112427,0.006546422373503447,0.002013564109802246,0.0021870401687920094,0.0014768036780878901,0.0017147825565189123,0.003459011670202017,5.2856696129310876e-05,6.336923979688436e-05,0.19719713926315308
12,0.0010000000474974513,9.446464205999746,162.53181340499987,0.02049371227622032,0.003688366850838065,0.006066626403480768,0.007700256071984768,0.0059259627014398575,0.007026075851172209,0.00040188024286180735,0.0003529824607539922,0.32455411553382874,0.0069941203109920025,0.0021473064552992582,0.0018642614595592022,0.0020954280626028776,0.001732614473439753,0.002125590341165662,8.70992080308497e-05,0.00012107210204703733,0.1883264183998108
13,0.0010000000474974513,9.327391263000209,171.85922030899974,0.019886471331119537,0.0034199757501482964,0.005624459125101566,0.00734343845397234,0.006852738093584776,0.007321984972804785,0.00038540648529306054,0.00033693009754642844,0.31924301385879517,0.017775852233171463,0.001724118716083467,0.004007185809314251,0.0058280364610254765,0.012332932092249393,0.006173951085656881,0.00011994675151072443,0.00038048301939852536,0.284437894821167
